LOC_id,mnemonic,LOC_desc,active_flag
1,ds_tech_bootcamp,Research documentation on your own as a first line of action,Y
2,ds_tech_bootcamp,Describe the components of a computer,Y
3,ds_tech_bootcamp,Explain the scales of computational power and scales of data,Y
4,ds_tech_bootcamp,Differentiate between Windows MacOS and Linux operating systems,Y
5,ds_tech_bootcamp,Compare Command Line (CLI) and Graphical User Interface (GUI) shells,Y
6,ds_tech_bootcamp,Demonstrate installing software to your computer,Y
7,ds_tech_bootcamp,Implement important tasks with Linux,Y
8,ds_tech_bootcamp,Create a GitHub account for career or personal use,Y
9,ds_tech_bootcamp,Use CLI to operate Git software for version control,Y
10,ds_tech_bootcamp,Use GUI to operate Github website interface for version control,Y
11,ds_tech_bootcamp,Know how to Install R,Y
12,ds_tech_bootcamp,Know how to install and launch Rstudio,Y
13,ds_tech_bootcamp,Know how to install Anaconda,Y
14,ds_tech_bootcamp,Know how to launch Spyder,Y
15,ds_tech_bootcamp,Know how to launch Jupyter Notebook,Y
16,ds5001,Understand and use language models such as bag of words,Y
17,ds5001,Understand and use vector space models,Y
18,ds5001,Understand how to measure similarity between documents,Y
19,ds5001,Understand how Principal Component Analysis (PCA) works,Y
20,ds5001,Understand and use topic models such as Latent Dirichlet Allocation (LDA),Y
21,ds5001,Understand and use word embedding such as glove and word2vec,Y
22,ds5001,Understand and use sentiment analysis such as VADER,Y
23,ds5001,Understand and use Naive Bayes classification,Y
24,cs5012,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency,Y
25,cs5012,Select Computationally Assess and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems,Y
26,cs5012,Define and Use Logic Data Structures and Algorithms to Solve Problems ,Y
27,cs5012,Connect Transform and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing efficient algorithmic solutions,Y
28,cs5012,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics,Y
29,cs5012,Reflect on peer-feedback instructor-feedback  experiences  and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied ,Y
30,cs5012,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science ,Y
31,cs5012,Design and understand regular expressions for pattern matching,Y
32,cs5012,Understand the important considerations for proper database design,Y
33,ds5100,Basic Dataframe operations (Python and R),Y
34,ds5100,Clone a repo on GitHub,Y
